Id,Traditional,Simplified,English,HSK,HSK 5（二）词语搭配,Img,Txt,Pinyin,Explanation,Example,Example Explanation,Translation,Book,Lesson,Dialog,NW,PN,OofC,Alternative,Grammar Reference,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Length,Character Phrase,Instagram Image Created
4134,跟隨,跟随,to follow,6,,FALSE,FALSE,gēn suí,跟随，就是 to follow。,她跟随在她母亲之后进入厅内。,也就是说，她跟着她母亲走进大厅。,She entered the hall after her mother.,6,20,1,21,,,,,,,,,tā gēnsuí zài tā mǔqīn zhīhòu jìnrù tīng nèi,2,,
4135,尋覓,寻觅,to look for,6,,FALSE,FALSE,xún mì,寻觅，就是寻找。,你在寻觅爱情吗？,也就是问，你在寻找爱吗？,Are you looking for love?,6,20,1,22,,,,,,,,,nǐ zài xúnmì àiqíng ma,2,,
4136,頗,颇,"quite, rather",6,,FALSE,FALSE,pō,颇，就是相当。,他虽似疯狂其实颇有理性。,也就是说，他的疯狂有办法。,There's method in his madness.,6,20,1,23,,,,,,,,,tā suī sì fēngkuáng qíshí pō yǒu lǐxìng,1,,
4137,分明,分明,"clear, distinct, evidently, clearly",6,,FALSE,FALSE,fēn míng,分明，就是清晰，明显，清晰。,为仇为友，恩怨分明。,也就是说，很清楚谁是我们的朋友，谁是我们的敌人。,It is perfectly clear who are our friends and who are our foes.,6,20,1,24,,,,,,,,,wéi chóu wéi yǒu ēnyuàn fēnmíng,2,,
4138,隱蔽,隐蔽,"to conceal, to hide, covert, under cover",6,,FALSE,FALSE,yǐn bì,隐蔽，就是隐藏，隐蔽，隐藏。,处于隐蔽地位,也就是“呆在幕后”。,stay in the background,6,20,1,25,,,,,,,,,chǔyú yǐnbì dìwèi,2,,
4139,扎,扎,"to prick, to run or stick (a needle etc) into",6,,FALSE,FALSE,zhā,扎，就是刺入。,这是一颗新栽的树，还没有扎下根来。,也就是说，这是一棵新栽的树，还没有长成。,It is a newly planted tree and it has not established yet.,6,20,1,26,,,,,,,,,zhè shì yī kē xīn zāi de shù hái méiyǒu zhā xià gēn lái,1,,
4140,磚,砖,brick,6,,FALSE,FALSE,zhuān,砖，就是 brick。,外墙是砖砌的。,The outside walls are brick.,The outside walls are brick.,6,20,1,27,,,,,,,,,wàiqiáng shì zhuān qì de,1,,
4141,揀,拣,"to choose, to pick, to sort out, to pick up",6,,FALSE,FALSE,jiǎn,拣，就是选择，挑选，整理，挑选。,拣你最喜欢的吧。,也就是说，选择你最喜欢的。,Choose which you like best.,6,20,1,28,,,,,,,,,jiǎn nǐ zuì xǐhuan de ba,1,,
4142,撇,撇,"to cast away, to fling aside",6,,FALSE,FALSE,piē,撇，就是抛弃。,她撇去了汤上的大部分浮油。,也就是说，她撇去汤里的大部分脂肪。,She skimmed the soup to remove most of the fat.,6,20,1,29,,,,,,,,,tā piēqù le tāng shàng de dàbùfen fú yóu,1,,
4143,砸,砸,"to smash, to pound, to fail, to muck up, to bungle",6,,FALSE,FALSE,zá,砸，就是失败，弄脏，砸。,戏演砸了。,也就是说，这出戏演得不好。,The play is badly performed.,6,20,1,30,,,,,,,,,xì yǎn zá le,1,,
4144,膝蓋,膝盖,knee,6,,FALSE,FALSE,xī gài,膝盖，就是膝。,我跌倒时擦伤了膝盖。,也就是说，我摔倒擦伤了膝盖。,I fell and scraped my knee.,6,20,1,31,,,,,,,,,wǒ diēdǎo shí cāshāng le xīgài,2,,
4145,枝,枝,"branch, classifier for sticks, rods, pencils etc",6,,FALSE,FALSE,zhī,枝，就是树枝、棒、铅笔等的分级机。,去皮的柳树细枝,也就是“剥皮的柳条”。,a peeled willow wand,6,20,1,32,,,,,,,,,qùpí de liǔshù xì zhī,1,,
4146,拐杖,拐杖,"crutches, crutch, walking stick",6,,FALSE,FALSE,guǎi zhàng,拐杖，就是 crutches。,那老汉拄着木拐杖走路。,也就是说，老人用木棍走路。,The old man walked with a wooden staff.,6,20,1,33,,,,,,,,,nà lǎohàn zhǔ zhe mù guǎizhàng zǒulù,2,,
4147,柱,柱,pillar,6,,FALSE,FALSE,zhù,柱，就是支柱。,那两根柱间的距离为三十米。,也就是说，两个柱子之间的间隔为三十米。,The interval between the two posts measures thirty meters.,6,20,1,34,,,,,,,,,nà liǎng gēn zhù jiān de jùlí wéi sānshí mǐ,1,,
4148,病,病,"illness, disease, to fall ill, defect",6,,FALSE,FALSE,bìng,病，就是疾病，生病，缺陷。,血友病患者的血液凝固不良。,也就是说，血友病患者的血液不会正常凝结。,A hemophiliac’s blood will not clot properly.,6,20,1,35,,,,,,,,,xuèyǒubìng huànzhě de xuèyè nínggù bùliáng,1,,
4149,挖掘,挖掘,"to excavate, to dig, to unearth",6,,FALSE,FALSE,wā jué,挖掘，就是 to excavate。,在土中挖掘马铃薯,也就是“在地里挖土豆”。,grub in the earth for potatoes,6,20,1,36,,,,,,,,,zài tǔ zhōng wājué mǎlíngshǔ,2,,
4150,坑,坑,"hole, pit, tunnel, to defraud",6,,FALSE,FALSE,kēng,坑，就是坑、坑、洞、诈骗。,坑越挖越深。,也就是说，坑越深。,The pit grew deeper.,6,20,1,37,,,,,,,,,kēng yuè wā yuè shēn,1,,
4151,發炎,发炎,"to become inflamed, inflammation",6,,TRUE,TRUE,fā yán,发炎，就是 to become inflamed。,那伤口发炎了。,也就是说，受伤的地方出现了炎症。,The wound is inflamed.,6,20,1,38,,,,,,,,,nà shāngkǒu fāyán le,2,,
4152,咋,咋,dialectal equivalent of “怎么”,6,,FALSE,FALSE,zǎ,咋，就是“怎样”的辩证等价物。,你咋不知道呢？,也就是问，你为什么不知道？,Why don't you know?,6,20,1,39,,,,,,,,,nǐ zǎ bù zhīdào ne,1,,
4153,僥倖,侥幸,"luckily, by a fluke",6,,FALSE,FALSE,jiǎo xìng,侥幸，就是幸运的是，侥幸。,他侥幸逃脱了。,也就是说，幸好他能逃脱。,By good luck he was able to escape.,6,20,1,40,,,,,,,,,tā jiǎoxìng táotuō le,2,,
4154,滋味,滋味,"taste, flavor, feeling",6,,FALSE,FALSE,zī wèi,滋味，就是味道、味道、感觉。,德默雷斯特觉得不是滋味。,也就是说，德默斯特厌恶地想。,Demerest thought disgustedly.,6,20,1,41,,,,,,,,,dé mò léi sī tè juéde bùshìzīwèi,2,,
4155,逢,逢,"to meet by chance, to come across, to fawn upon",6,,FALSE,FALSE,féng,逢，就是偶然相遇。,良机难逢,也就是“难得的黄金机会”。,a rare golden opportunity,6,20,1,42,,,,,,,,,liángjī nán féng,1,,
4156,得不償失,得不偿失,the gains do not make up for the losses (idiom),6,,FALSE,FALSE,dé bù cháng shī,得不偿失，就是 the gains do not make up for the losses。,在商业中有时过于谨慎是得不偿失的。,也就是说，有时候在生意上过于谨慎是不合算的。,sometimes it doesn't pay to be overcautious in business.,6,20,1,43,,,,,,,,,zài shāngyè zhōng yǒushí guòyú jǐnshèn shì débùchángshī de,4,,
4157,寧肯,宁肯,"would rather..., it would be better..., would prefer",6,,FALSE,FALSE,nìng kěn,宁肯，就是更愿意…，更好…，更愿意。,宁肯拧死，不要饿死。,也就是说，宁可死于消化不良，也不要死于饥饿。,It is better to die of indigestion than of starvation.,6,20,1,44,,,,,,,,,nìngkěn nǐng sǐ bùyào èsǐ,2,,
4158,告誡,告诫,"to warn, to admonish",6,,FALSE,FALSE,gào jiè,告诫，就是警告诫。,医生告诫我们不要吸烟。,也就是说，医生告诉我们不要吸烟。,Doctors tell us not to smoke.,6,20,1,45,,,,,,,,,yīshēng gàojiè wǒmen bùyào xīyān,2,,
4159,慾望,欲望,"desire, longing, appetite, craving",6,,FALSE,FALSE,yù wàng,欲望，就是欲望、渴望、食欲、渴望。,你应以理性来限制你的欲望。,也就是说，你应该理性地约束你的欲望。,You should bound your desires by reason.,6,20,1,46,,,,,,,,,nǐ yīng yǐ lǐxìng lái xiànzhì nǐ de yùwàng,2,,
4160,貪婪,贪婪,"avaricious, greedy, rapacious, insatiable, avid",6,,FALSE,FALSE,tān lán,贪婪，就是贪婪、贪婪、贪婪、贪得无厌、贪婪。,贪婪是万恶之根源。,也就是说，贪婪是许多罪恶的根源。,Greed is the parent of many evils.,6,20,1,47,,,,,,,,,tānlán shì wàn'è zhī gēnyuán,2,,
4161,爭奪,争夺,"to fight over, to contest, to vie over",6,,FALSE,FALSE,zhēng duó,争夺，就是为了争夺。,在奥林匹克运动会上许多国家争夺奖牌。,也就是说，许多国家在奥林匹克运动会上争夺奖牌。,Many nations contest for medals at the Olympic Games.,6,20,1,48,,,,,,,,,zài Àolínpǐkè Yùndònghuì shàng xǔduō guójiā zhēngduó jiǎngpái,2,,
4162,貪污,贪污,"to be corrupt, corruption, to embezzle",6,,FALSE,FALSE,tān wū,贪污，就是腐败，贪污。,这位部长贪污致富。,也就是说，部长通过贪污致富。,The Minister became rich through graft.,6,20,1,49,,,,,,,,,zhèwèi bùzhǎng tānwū zhìfù,2,,
4163,賄賂,贿赂,"to bribe, a bribe",6,,FALSE,FALSE,huì lù,贿赂，就是 to bribe。,罪犯企图贿赂法官。,也就是说，犯罪者企图贿赂法官。,The offender attempted to grease the palm of the judge.,6,20,1,50,,,,,,,,,zuìfàn qǐtú huìlù fǎguān,2,,
4164,不擇手段,不择手段,unscrupulous,6,,TRUE,TRUE,bù zé shǒu duàn,不择手段，就是千方百计，肆无忌惮地达到自己的目的。,他残忍、奸诈、不择手段。,也就是说，他很无耻。,"He was cruel, treacherous and unscrupulous.",6,20,1,51,,,,,,,,,tā cánrěn、 jiānzhà、 bùzéshǒuduàn,4,,
4165,油漆,油漆,"oil paints, lacquer, to paint",6,,FALSE,FALSE,yóu qī,油漆，就是油漆、油漆、油漆。,你要他把门油漆成绿色的吗？,也就是问，你想让他把门漆成绿色吗？,Do you want him to paint the door into green color?,6,20,扩展,,,,,,,,,,nǐ yào tā bǎmén yóuqī chéng lǜsè de ma,2,,
4166,炊煙,炊烟,smoke from kitchen chimneys,6,,FALSE,FALSE,chuī yān,炊烟，就是厨房烟囱冒出的烟。,炊烟从厨房的烟囱缓缓升起。,也就是说，从厨房烟囱里慢慢冒出烟来。,Smoke is slowly going up from kitchen chimneys,6,20,扩展,,,,,,,,,,chuīyān cóng chúfáng de yāncōng huǎnhuǎn shēngqǐ,2,,
4167,火焰,火焰,"blaze, flame",6,,FALSE,FALSE,huǒ yàn,火焰，就是 blaze。,所有的房子都在火焰中烧毁。,也就是说，所有的房子都在大火中烧毁了。,All the houses perished in flames.,6,20,扩展,,,,,,熊熊火焰温暖了我的心窝,https://youtu.be/3xKLu0xbNYw?t=330,,,suǒyǒu de fángzi dōu zài huǒyàn zhōng shāohuǐ,2,,
4168,皮革,皮革,leather,6,,FALSE,FALSE,pí gé,皮革，就是 leather。,这料子像皮革般坚韧。,也就是说，这种材料和皮革一样坚硬。,This material is as tough as leather.,6,20,扩展,,,,,,,,,,zhè liàozi xiàng pígé bān jiānrèn,2,,
4169,哨,哨,"a whistle, sentry",6,,FALSE,FALSE,shào,哨，就是哨子，哨兵。,裁判高声吹哨,也就是说，裁判员吹口哨。,The referees blasted their whistles.,6,20,扩展,,,,,,,,,,cáipàn gāoshēng chuīshào,1,,
4170,證書,证书,"credentials, certificate",6,,FALSE,FALSE,zhèng shū,证书，就是 credentials。,伤寒免疫证书,也就是“斑疹伤寒免疫证书”。,a typhus immunization certificate,6,20,扩展,,,,,,,,,,shānghán miǎnyì zhèngshū,2,,
4171,鑽石,钻石,diamond,6,,FALSE,FALSE,zuàn shí,钻石，就是 diamond。,仿造的钻石,也就是“假钻石”。,a counterfeit diamond,6,20,扩展,,,,,,,,,,fǎngzào de zuànshí,2,,
4172,啓事,启事,announcement,6,,FALSE,FALSE,qǐ shì,启事，就是公告。,征文启事,也就是说，为特别发行募集捐款的通知等。,"a notice soliciting contributions for a special issue, etc.",6,20,扩展,,,,,,,,,,zhēng wén qǐshì,2,,
4173,急劇,急剧,"rapid, sudden",6,,FALSE,FALSE,jí jù,急剧，就是突然的。,高炉的温度急剧上升。,也就是说，高炉的温度上升了。,The temperature of the blast furnace raced up.,6,21,1,1,,,,,,,,,gāolú de wēndù jíjù shàngshēng,2,,
4174,川流不息,川流不息,the stream flows without stopping (idiom); unending flow,6,,FALSE,FALSE,chuān liú bù xī,川流不息，就是水流不停地流动；无止境的流动。,人们川流不息地到来。,也就是说，人们不断地涌来。,People kept coming in streams.,6,21,1,2,,,,,,,,,rénmen chuānliúbùxī dì dàolái,4,,
4175,登錄,登录,"to register, to log in",6,,FALSE,FALSE,dēng lù,登录，就是注册，登录。,远程登录。,,remote login,6,21,1,3,,,,,,,,,yuǎnchéngdēnglù,2,,
4176,指令,指令,"order, command, instruction",6,,FALSE,FALSE,zhǐ lìng,指令，就是命令、命令、指令。,他严格遵守指令。,也就是说，他忠实地遵守指示。,He followed the instructions faithfully.,6,21,1,4,,,,,,,,,tā yángé zūnshǒu zhǐlìng,2,,
4177,根深蒂固,根深蒂固,deep-rooted (problem etc),6,,FALSE,FALSE,gēn shēn dì gù,根深蒂固，就是 deep-rooted。,她的右翼观点根深蒂固。,She is entrenched in her right-wing views.,She is entrenched in her right-wing views.,6,21,1,5,,,,,,,,,tā de yòuyì guāndiǎn gēnshēndìgù,4,,
4178,不免,不免,inevitably,6,,TRUE,TRUE,bù miǎn,不免，就是不可避免地。,他生气时不免有些失礼。,也就是说，他一生气，就很难保持礼貌。,He's rather curt when he's angry.,6,21,1,6,,,,,,,,,tā shēngqì shí bùmiǎn yǒuxiē shīlǐ,2,,
4179,預言,预言,"to predict, prophecy",6,,FALSE,FALSE,yù yán,预言，就是 to predict。,使预言的解释神秘化,也就是“迷惑预言的解释”。,mystify an interpretation of a prophecy,6,21,1,7,,,,,我们的结局应验谁的预言,https://youtu.be/TCHIjWQQpc0?t=76,wǒmen de jiéjú yìngyàn shéi de yùyán ,Whose Prophecy Will Our Ending Be Fulfilled,shǐ yùyán de jiěshì shénmì huà,2,,
4180,革命,革命,"revolution, revolutionary (politics)",6,,FALSE,FALSE,gé mìng,革命，就是 revolution。,革命圣地。,,a sacred place of the revolution,6,21,1,8,,,,,,,,,gémìng shèngdì,2,,
4181,改良,改良,to improve,6,,FALSE,FALSE,gǎi liáng,改良，就是改进。,这个城市的治安机构需要改良。,也就是说，这个城市的安全设施需要改革。,The city's security apparatus needs reforming.,6,21,1,9,,,,,,,,,zhège chéngshì de zhì'ān jīgòu xūyào gǎiliáng,2,,
4182,欣欣向榮,欣欣向荣,"luxuriant growth (idiom); flourishing, thriving",6,,FALSE,FALSE,xīn xīn xiàng róng,欣欣向荣，就是繁荣昌盛。,文化艺术事业欣欣向荣。,也就是说，文化艺术繁荣。,Culture and art prospering.,6,21,1,10,,,,,,,,,wénhuà yìshù shìyè xīnxīnxiàngróng,4,,
4183,倉庫,仓库,"depot, storehouse, warehouse",6,,FALSE,FALSE,cāng kù,仓库，就是仓库、仓库、仓库。,这些箱子被堆放在一个仓库里。,也就是说，箱子堆放在仓库里。,The boxes are stacked in a warehouse.,6,21,1,11,,,,,,,,,zhèxiē xiāngzi bèi duīfàng zài yī gè cāngkù lǐ,2,,
4184,儲備,储备,"reserves, to store up",6,,FALSE,FALSE,chǔ bèi,储备，就是储存。,我们应当储备钱留着急用。,也就是说，我们必须为紧急情况储备资金。,We must reserve money for emergencies.,6,21,1,12,,,,,,,,,wǒmen yīngdāng chǔbèi qián liú zhe jíyòng,2,,
4185,結算,结算,"to settle a bill, to close an account",6,,FALSE,FALSE,jié suàn,结算，就是结帐。,余款结算,也就是“结存”。,Settlement of Balance,6,21,1,13,,,,,,,,,yú kuǎn jiésuàn,2,,
4186,模式,模式,"mode, method, pattern",6,,FALSE,FALSE,mó shì,模式，就是模式、方法、模式。,大规模定制是当前最先进的生产模式。,也就是说，大规模定制是最先进的生产模式。,Mass Customization is the most advanced production mode.,6,21,1,14,,,,,,,,,dàguīmó dìngzhì shì dāngqián zuì xiānjìn de shēngchǎn móshì,2,,
4187,把手,把手,"handle, grip, knob",6,,FALSE,FALSE,bǎ shou,把手，就是把手、把手、把手。,他跑向门，无力地摇动门把手。,也就是说，她跑到门口，不礼貌地摇了摇把手。,She ran to the door and shook the handle impotently.,6,21,1,15,,,,,,,,,tā pǎo xiàng mén wúlì dì yáodòng mén bǎshǒu,2,,
4188,裝卸,装卸,"to load or unload, to transfer, to assemble and disassemble",6,,FALSE,FALSE,zhuāng xiè,装卸，就是装卸、转移、装配和拆卸。,港口装卸机械。,,port cargo handling machinery,6,21,1,16,,,,,,,,,gǎngkǒu zhuāngxiè jīxiè,2,,
4189,屏幕,屏幕,"screen (TV, computer or movie)",6,,FALSE,FALSE,píng mù,屏幕，就是 screen。,显示屏幕技术,也就是“显示屏技术”。,display screen technology,6,21,1,17,,,,,,,,,xiǎnshì píngmù jìshù,2,,
4190,相應,相应,"to correspond, answering (one another), to agree (among the part)",6,,FALSE,FALSE,xiāng yìng,相应，就是通信，回答。,把数字输人相应的空格。就这么简单！,意思是说，在适当的空白处输入数字。就这么简单！,Enter the numbers into the appropriate blanks．It's as simple as that!,6,21,1,18,,,,,,,,,bǎ shùzì shū rén xiāngyìng de kònggé jiù zhème jiǎndān,2,,
4191,儀器,仪器,"instrument, apparatus",6,,FALSE,FALSE,yí qì,仪器，就是仪器、仪器。,使用之前仪器必须升温。,也就是说，仪器在使用前必须预热。,The instrument must be warmed up before it is put into practice.,6,21,1,19,,,,,,,,,shǐyòng zhīqián yíqì bìxū shēngwēn,2,,
4192,以免,以免,"in order to avoid, so as not to",6,,FALSE,FALSE,yǐ miǎn,以免，就是为了避免，以免。,你必须留意以免出错。,也就是说，你必须防止出错。,You must guard against errors.,6,21,1,20,,,,,,,,,nǐ bìxū liúyì yǐmiǎn chūcuò,2,,
4193,嫌,嫌,"to dislike, suspicion, resentment, enmity",6,,FALSE,FALSE,xián,嫌，就是厌恶、怀疑、怨恨、敌意。,大家都嫌他脾气太急。,也就是说，因为他脾气暴躁，大家都不喜欢他。,Everybody disliked him because of his hot temper.,6,21,1,21,,,,,,,,,dàjiā dōu xián tā píqi tài jí,1,,
4194,腥,腥,fishy (smell),6,,FALSE,FALSE,xīng,腥，就是鱼腥味。,有些人喜欢看血腥的影片。,也就是说，有些人喜欢看血腥的电影。,Some people like to watch the bloody films.,6,21,1,22,,,,,,,,,yǒuxiērén xǐhuan kàn xuèxīng de yǐngpiàn,1,,
4195,清理,清理,"to clear up, to tidy up, to dispose of",6,,TRUE,TRUE,qīng lǐ,清理，就是整理，处理。,他吩咐佣人清理客厅。,也就是说，他叫仆人打扫起居室。,He bade the servant clean the living room.,6,21,1,23,,,,,,,,,tā fēnfù yōngrén qīnglǐ kètīng,2,,
4196,等候,等候,"to wait, to wait for",6,,FALSE,FALSE,děng hòu,等候，就是等待。,很多人排队等候汽车。,也就是说，许多人在排队等公共汽车。,Many people were queuing up for the bus.,6,21,1,24,,,,,,,,,hěn duō rén páiduì děnghòu qìchē,2,,
4197,性能,性能,"function, performance",6,,FALSE,FALSE,xìng néng,性能，就是功能、性能。,增强塑料具有多种性能。,也就是说，增强塑料具有许多不同的性能。,Reinforced plastics possess many diverse properties.,6,21,1,25,,,,,,,,,zēngqiáng sùliào jùyǒu duōzhǒng xìngnéng,2,,
4198,便利,便利,"convenient, easy, to facilitate",6,,FALSE,FALSE,biàn lì,便利，就是方便。,怎么便利就怎么办。,也就是说，做任何有利的事。,Do whatever is expedient.,6,21,1,26,,,,,,,,,zěnme biànlì jiù zěnmebàn,2,,
4199,把關,把关,"to guard a pass, to check on sth",6,,FALSE,FALSE,bǎ guān,把关，就是守住通行证，检查某物。,他被指派对质量问题把关。,也就是说，他被派去保证产品质量。,He was assigned to guarantee the quality of products.,6,21,1,27,,,,,,,,,tā bèi zhǐ pàiduì zhìliàng wèntí bǎguān,2,,
4200,人工,人工,"artificial, manpower, manual work",6,,FALSE,FALSE,rén gōng,人工，就是人工、人力、体力劳动。,人工呼吸。,,artificial respiration,6,21,1,28,,,,,,,,,réngōnghūxī,2,,
4201,秤,秤,"steelyard, Roman balance",6,,FALSE,FALSE,chèng,秤，就是罗马天平秤。,弹簧秤。,,spring scale,6,21,1,29,,,,,,,,,tánhuángchèng,1,,
4202,運算,运算,(mathematical) operation,6,,FALSE,FALSE,yùn suàn,运算，就是 operation。,加、减、乘、除都是二元运算。,也就是说，加法、减法、乘法和除法都是二进制运算。,"Addition, subtraction, multiplication, and division are binary operations.",6,21,1,30,,,,,,,,,jiā、 jiǎn、 chéng、 chú dōu shì èryuán yùnsuàn,2,,
4203,總和,总和,sum,6,,FALSE,FALSE,zǒng hé,总和，就是 sum。,这些数字的总和是多少？,也就是问，这些数字加起来有多少？,How much do all these figures stack up to?,6,21,1,31,,,,,,,,,zhèxiē shùzì de zǒnghé shì duōshao,2,,
4204,著重,着重,"to put emphasis on, to stress",6,,FALSE,FALSE,zhuó zhòng,着重，就是强调。,着重口头练习。,也就是“重视口语练习”。,give emphasis to oral practice,6,21,1,32,,,,,,,,,zhuózhòng kǒutóu liànxí,2,,
4205,虛擬,虚拟,"fictitious, theoretical, hypothetical, (computing) virtual",6,,FALSE,FALSE,xū nǐ,虚拟，就是虚拟的、理论的、假设的、计算的、虚拟的。,在这个句子里，动词用的是虚拟语气。,也就是说，这句话的动词是虚拟语气。,In this sentence the verb is in the subjunctive mood.,6,21,1,33,,,,,,,,,zài zhège jùzi lǐ dòngcí yòng de shì xūnǐ yǔqì,2,,
4206,投票,投票,"to vote, vote",6,,FALSE,FALSE,tóu piào,投票，就是投票表决。,我弃权不投票。,也就是说，我弃权了。,I abstained from voting.,6,21,1,34,,,,,,,,,wǒ qìquán bù tóupiào,2,,
4207,保管,保管,"to assure, to guarantee, to take care of, to safeguard, certainly",6,,FALSE,FALSE,bǎo guǎn,保管，就是保证、保证、照顾、保障。,文件由我的律师保管着。,也就是说，这些文件由我的律师保管。,The documents are in the custody of my solicitor.,6,21,1,35,,,,,,,,,wénjiàn yóu wǒ de lǜshī bǎoguǎn zhe,2,,
4208,新穎,新颖,"lit. new bud, fig. new and original",6,,FALSE,FALSE,xīn yǐng,新颖，就是点燃。新花蕾，图，新的和原始的。,构思新颖,也就是“原始概念”。,original concept,6,21,1,36,,,,,,,,,gòusī xīnyǐng,2,,
4209,羽絨服,羽绒服,down-filled garment,6,,FALSE,FALSE,yǔ róng fú,羽绒服，就是 down-filled garment。,隆重推出今年流行的各式羽绒服,也就是说，隆重推出今年流行的各种羽绒服。,Grandly come out with this year's fashionaBle eiderdown outwear of various kinds.,6,21,1,37,,,,,,,,,lóngzhòng tuīchū jīnnián liúxíng de gè shì yǔróngfú,3,,
4210,旗袍,旗袍,"Chinese-style dress, cheongsam",6,,FALSE,FALSE,qí páo,旗袍，就是中国式旗袍。,传统旗袍,也就是“中式连衣裙”。,Chinese-style frock,6,21,1,38,,,,,,,,,chuántǒng qípáo,2,,
4211,中意,中意,to be one’s liking,outside,,FALSE,FALSE,zhōng yì,,,,,6,21,1,39,,Outside HSK,,,,,,,,2,,
4212,音響,音响,"sound, acoustics, audio, hi-fi system, stereo sound system",6,,FALSE,FALSE,yīn xiǎng,音响，就是音响、声学、音响、高保真系统、立体声音响系统。,以立体音响录音乐,也就是“用立体声录制音乐”。,record music in stereo,6,21,1,40,,,,,,,,,yǐ lìtǐ yīnxiǎng lù yīnyuè,2,,
4213,收音機,收音机,radio,6,,FALSE,FALSE,shōu yīn jī,收音机，就是 radio。,请调一下那个收音机的音量。,也就是说，请调节收音机的声音。,Please regulate the sound on that radio.,6,21,1,41,,,,,,,,,qǐngdiào yīxià nàge shōuyīnjī de yīnliàng,3,,
4214,水龍頭,水龙头,"faucet, tap",6,,FALSE,FALSE,shuǐ lóng tóu,水龙头，就是水龙头龙头。,随手关紧水龙头。,也就是说，使用后不要让水龙头一直开着。,Don't leave the tap running after use.,6,21,1,42,,,,,,,,,suíshǒu guānjǐn shuǐlóngtóu,3,,
4215,枚,枚,measure word for disk-like things,6,,FALSE,FALSE,méi,枚，就是像磁盘一样测量单词。,这枚硬币是假的。,也就是说，这枚硬币是假币。,This coin is a counterfeit.,6,21,1,43,,,,,,,,,zhè méi yìngbì shì jiǎde,1,,
4216,紐扣兒,纽扣儿,button,6,,FALSE,FALSE,niǔ kòu,纽扣儿，就是按钮。,他解开了衬衣纽扣。,也就是说，他解开了衬衫的扣子。,He unfastened the buttons of his shirt.,6,21,1,44,,,,,,,,,tā jiěkāi le chènyī niǔkòu,3,,
4217,插座,插座,"socket, outlet",6,,FALSE,FALSE,chā zuò,插座，就是 socket。,电灯泡插座。,也就是“电灯泡的插座”。,a socket for an electric light bulb,6,21,1,45,,,,,,,,,diàndēngpào chāzuò,2,,
4218,勘探,勘探,exploration,6,,FALSE,FALSE,kān tàn,勘探，就是 exploration。,地球物理勘探的一种方法就是地震法。,也就是说，地球物理勘探中使用的一种方法叫做地震法。,One method used in a geophysical exploration is called seismic method.,6,21,1,46,,,,,,,,,dìqiúwùlǐ kāntàn de yīzhǒng fāngfǎ jiùshì dìzhèn fǎ,2,,
4219,礦產,矿产,minerals,6,,FALSE,FALSE,kuàng chǎn,矿产，就是矿物。,矿产品价格。,,price of mineral products,6,21,1,47,,,,,,,,,kuàng chǎnpǐn jiàgé,2,,
4220,反饋,反馈,"to send back information, feedback",6,,FALSE,FALSE,fǎn kuì,反馈，就是发送反馈信息。,征求学生对新课程设置的反馈。,也就是“询问学生对新课程的反馈意见”。,ask the students for feedback on the new curriculum,6,21,1,48,,,,,,,,,zhēngqiú xuésheng duì xīn kèchéng shèzhì de fǎnkuì,2,,
4221,款式,款式,"pattern, style, design",6,,FALSE,FALSE,kuǎn shì,款式，就是图案、风格、设计。,我不喜欢这上装的款式。,也就是说，我不喜欢这套大衣。,I don' t like the set of this coat.,6,21,1,49,,,,,,,,,wǒ bù xǐhuan zhè shàngzhuāng de kuǎnshì,2,,
4222,關懷,关怀,"care, solicitude, to show care for, concerned about, attentive to",6,,FALSE,FALSE,guān huái,关怀，就是关心。,他像慈父般关怀你。,也就是“他关心你的福利。”,"He has a paternal concern for your welfare, ie like that of a father for his child.",6,21,1,50,,,,,,,,,tā xiàng cí fù bān guānhuái nǐ,2,,
4223,無微不至,无微不至,in every possible way (idiom); meticulous,6,,FALSE,FALSE,wú wēi bù zhì,无微不至，就是关怀、照顾别人非常细心，一丝不苟。,无微不至的关心,也就是“非常精心的照顾”。,painstaking care,6,21,1,51,,,,,,,,,wúwēibùzhì de guānxīn,4,,
4224,需求,需求,"requirement, (economics) demand",6,,FALSE,FALSE,xū qiú,需求，就是需求需求。,满足消费者的需求,也就是“满足消费者需求”。,meeting consumer demand,6,21,1,52,,,,,,,,,mǎnzú xiāofèizhě de xūqiú,2,,
4225,主導,主导,"leading, dominant, prevailing, to lead, to direct, to dominate",6,,FALSE,FALSE,zhǔ dǎo,主导，就是领导，支配，引导，支配。,他在俱乐部里起主导作用。,也就是说，他在俱乐部里占领导地位。,He takes a leading part in the club.,6,21,1,53,,,,,,,,,tā zài jùlèbù lǐ qǐ zhǔdǎo zuòyòng,2,,
4226,興隆,兴隆,to prosper,6,,FALSE,FALSE,xīng lóng,兴隆，就是兴旺。,他的生意看起来兴隆发达。,也就是说，他的生意似乎很兴隆。,His business seems to be flourishing.,6,21,1,54,,,,,,,,,tā de shēngyì kànqǐlái xīnglóng fādá,2,,
4227,商標,商标,"trademark, logo",6,,FALSE,FALSE,shāng biāo,商标，就是商标标志。,商标使用许可合同应当报商标局备案。,也就是说，商标许可合同应当报商标局备案。,The trademark license contract shall be submitted to the Trademark Office for record.,6,21,扩展,,,,,,,,,,shāngbiāo shǐyòng xǔkě hétong yīngdāng bào shāngbiāo jú bèi'àn,2,,
